 ,新字体,旧字体,部首,総画数,学年,追加年,削除年,カナ,カナ,カナ,カナ,カナ,かな,かな,かな,かな,かな,かな,かな
,糾,,糸,,S,,,キュウ,,,,,,,,,,,
,宮,,宀,,,,,キュウ,グウ,（ク）,,,みや,,,,,,
,救,,攴,,,,,キュウ,,,,,すく-う,,,,,,
,球,,玉,,,,,キュウ,,,,,たま,,,,,,
,給,,糸,,,,,キュウ,,,,,,,,,,,
,嗅 ,,口,,S,,,キュウ,,,,,か-ぐ,,,,,,
,窮,,穴,,S,,,キュウ,,,,,きわ-める,きわ-まる,,,,,
,牛,,牛,,,,,ギュウ,,,,,うし,,,,,,
,去,,厶,,,,,キョ,コ,,,,さ-る,,,,,,
,巨,,工,,S,,,キョ,,,,,,,,,,,
,居,,尸,,,,,キョ,,,,,い-る,,,,,,
,拒,,手,,S,,,キョ,,,,,こば-む,,,,,,
,拠,據,手,,S,,,キョ,コ,,,,,,,,,,
,挙,擧,手,,,,,キョ,,,,,あ-げる,あ-がる,,,,,
,虚,虛,虍,,S,,,キョ,（コ）,,,,,,,,,,
,許,,言,,,,,キョ,,,,,ゆる-す,,,,,,
,距,,足,,S,,,キョ,,,,,,,,,,,
,魚,,魚,,,,,ギョ,,,,,うお,さかな,,,,,
,御,,彳,,S,,,ギョ,ゴ,,,,おん,,,,,,
,漁,,水,,,,,ギョ,リョウ,,,,,,,,,,
,凶,,凵,,S,,,キョウ,,,,,,,,,,,
,共,,八,,,,,キョウ,,,,,とも,,,,,,
,叫,,口,,S,,,キョウ,,,,,さけ-ぶ,,,,,,
,狂,,犬,,S,,,キョウ,,,,,くる-う,くる-おしい,,,,,
,京,,亠,,,,,キョウ,ケイ,,,,,,,,,,
,享,,亠,,S,,,キョウ,,,,,,,,,,,
,供,,人,,,,,キョウ,（ク）,,,,そな-える,とも,,,,,
,協,,十,,,,,キョウ,,,,,,,,,,,
,況,,水,,S,,,キョウ,,,,,,,,,,,
,峡,峽,山,,S,,,キョウ,,,,,,,,,,,
,挟,挾,手,,S,,,キョウ,,,,,はさ-む,はさ-まる,,,,,
,狭,狹,犬,,S,,,キョウ,,,,,せま-い,せば-める,せば-まる,,,,
,恐,,心,,S,,,キョウ,,,,,おそ-れる,おそ-ろしい,,,,,
,恭,,心,,S,,,キョウ,,,,,うやうや-しい,,,,,,
,胸,,肉,,,,,キョウ,,,,,むね,（むな）,,,,,
,脅,,肉,,S,,,キョウ,,,,,おびや-かす,おど-す,おど-かす,,,,
,強,,弓,,,,,キョウ,ゴウ,,,,つよ-い,つよ-まる,つよ-める,し-いる,,,
,教,,攴,,,,,キョウ,,,,,おし-える,おそ-わる,,,,,
,郷,鄕,邑,,,,,キョウ,ゴウ,,,,,,,,,,
,境,,土,,,,,キョウ,（ケイ）,,,,さかい,,,,,,
,橋,,木,,,,,キョウ,,,,,はし,,,,,,
,矯,,矢,,S,,,キョウ,,,,,た-める,,,,,,
,鏡,,金,,,,,キョウ,,,,,かがみ,,,,,,
,競,,立,,,,,キョウ,ケイ,,,,きそ-う,せ-る,,,,,
,響,響 ,音,,S,,,キョウ,,,,,ひび-く,,,,,,
,驚,,馬,,S,,,キョウ,,,,,おどろ-く,おどろ-かす,,,,,
,仰,,人,,S,,,ギョウ,（コウ）,,,,あお-ぐ,おお-せ,,,,,
,暁,曉,日,,S,,,ギョウ,,,,,あかつき,,,,,,
,業,,木,,,,,ギョウ,ゴウ,,,,わざ,,,,,,
,凝,,冫,,S,,,ギョウ,,,,,こ-る,こ-らす,,,,,
,曲,,曰,,,,,キョク,,,,,ま-がる,ま-げる,,,,,
,局,,尸,,,,,キョク,,,,,,,,,,,
,極,,木,,,,,キョク,ゴク,,,,きわ-める,きわ-まる,きわ-み,,,,
,玉,,玉,,,,,ギョク,,,,,たま,,,,,,
,巾,,巾,,S,,,キン,,,,,,,,,,,
,斤,,斤,,S,,,キン,,,,,,,,,,,
,均,,土,,,,,キン,,,,,,,,,,,
,近,,辵,,,,,キン,,,,,ちか-い,,,,,,
,金,,金,,,,,キン,コン,,,,かね,（かな）,,,,,
,菌,,艸,,S,,,キン,,,,,,,,,,,
,勤,勤 ,力,,,,,キン,（ゴン）,,,,つと-める,つと-まる,,,,,
,琴,,玉,,S,,,キン,,,,,こと,,,,,,
,筋,,竹,,,,,キン,,,,,すじ,,,,,,
,僅 ,,人,,S,,,キン,,,,,わず-か,,,,,,
